@relation data

@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute featured numeric

@data
0.689,0.412,7,-7.523,0,0.0301,0.488,0.00016,0.0659,0.537,126.754,184060,4,1
0.637,0.637,7,-7.906,1,0.149,0.164,0,0.124,0.441,79.987,214582,4,1
0.723,0.44,0,-9.459,1,0.0282,0.452,0.176,0.366,0.517,116.193,166067,4,1
0.549,0.316,1,-9.018,1,0.0315,0.118,0.000004,0.0572,0.391,106.82,250704,4,1
0.407,0.459,7,-12.151,0,0.191,0.178,0.000014,0.117,0.341,67.425,203177,3,1
0.752,0.883,5,-4.45,0,0.0426,0.00616,0.0998,0.167,0.509,122.026,176414,4,1
0.65,0.648,1,-8.228,1,0.0292,0.0626,0.00399,0.106,0.489,94.983,184421,4,1
0.723,0.504,8,-5.572,1,0.0392,0.388,0.000074,0.087,0.551,133.975,218893,4,1
0.676,0.471,10,-11.481,0,0.106,0.0151,0.000005,0.262,0.291,136.027,204000,4,1
0.477,0.61,11,-5.628,0,0.144,0.225,0,0.107,0.358,79.882,213993,4,1
0.709,0.715,9,-6.172,0,0.16,0.191,0,0.0637,0.467,158.017,267416,4,1
0.586,0.918,9,-4.345,1,0.0624,0.000039,0.00972,0.0512,0.835,112.024,189267,4,1
0.628,0.653,0,-6.835,1,0.0307,0.00869,0,0.259,0.591,115.012,194459,4,1
0.396,0.165,9,-16.437,1,0.045,0.727,0.00001,0.111,0.132,125.349,207047,3,1
0.611,0.704,0,-8.459,1,0.0289,0.275,0.11,0.16,0.522,103.973,251627,4,1
0.933,0.602,7,-6.999,1,0.22,0.0165,0.000001,0.081,0.535,130.023,192462,4,1
0.619,0.707,8,-5.204,0,0.0479,0.149,0.000049,0.111,0.194,109.002,193475,4,1
0.687,0.824,8,-4.166,1,0.0396,0.00526,0.102,0.0559,0.837,115.009,277417,4,1
0.907,0.583,0,-5.763,1,0.0723,0.0344,0,0.0931,0.875,126.009,170560,4,1
0.525,0.951,10,-6.763,0,0.0601,0.0142,0,0.308,0.614,130.028,231067,4,1
0.811,0.481,7,-7.85,1,0.03,0.325,0.354,0.0747,0.851,109.996,208813,4,1
0.767,0.683,0,-4.643,1,0.0816,0.0256,0,0.0808,0.698,120.033,174067,4,1
0.801,0.571,9,-8.274,0,0.0798,0.447,0.000021,0.086,0.628,135.96,151611,4,1
0.901,0.534,9,-7.617,0,0.0353,0.158,0.0148,0.124,0.559,124.001,241194,4,1
0.635,0.381,9,-7.228,0,0.0391,0.252,0,0.487,0.352,119.931,122000,4,1
0.728,0.326,7,-12.875,1,0.0302,0.5,0.00895,0.124,0.323,103.033,219062,4,1
0.656,0.777,4,-4.181,1,0.268,0.362,0,0.149,0.566,97.209,207835,4,1
0.476,0.741,0,-4.291,1,0.0367,0.00423,0.000157,0.121,0.269,161.792,200847,4,1
0.535,0.227,0,-10.996,1,0.0515,0.92,0.00095,0.114,0.111,100.457,171000,3,1
0.423,0.502,10,-9.029,1,0.0419,0.00775,0.000004,0.105,0.394,83.851,186253,4,1
0.742,0.568,6,-9.182,0,0.259,0.585,0,0.0986,0.482,80.001,207847,4,1
0.853,0.637,3,-5.924,0,0.331,0.129,0,0.267,0.496,86.048,156195,4,1
0.46,0.375,11,-8.009,0,0.0343,0.289,0.000007,0.081,0.074,121.384,242860,4,1
0.89,0.624,1,-3.966,1,0.103,0.0944,0.000005,0.0903,0.762,116.046,169814,4,1
0.516,0.844,11,-5.401,1,0.0687,0.00687,0,0.151,0.756,161.998,207435,4,1
0.531,0.956,2,-3.727,0,0.109,0.0191,0.000003,0.0738,0.629,160.036,205473,4,1
0.901,0.464,5,-9.789,0,0.0645,0.368,0.000017,0.238,0.638,109.004,203267,4,1
0.638,0.516,0,-7.167,1,0.0264,0.549,0,0.347,0.37,95.1,225474,3,1
0.6,0.724,1,-7.462,0,0.0786,0.644,0.00181,0.103,0.546,176.985,200733,4,1
0.685,0.638,6,-6.539,1,0.0367,0.0371,0,0.0987,0.414,123.442,183894,4,1
0.876,0.621,10,-6.611,0,0.278,0.27,0,0.138,0.697,134.978,156368,4,1
0.498,0.626,1,-6.076,0,0.15,0.0262,0,0.178,0.354,93.258,159588,4,1
0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4,1
0.4,0.984,9,-3.449,1,0.0566,0.0091,0.000212,0.374,0.475,88.034,175242,4,1
0.473,0.381,3,-14.63,1,0.0375,0.594,0.391,0.106,0.375,173.848,217554,4,1
0.475,0.634,2,-9.568,1,0.0461,0.558,0.128,0.155,0.234,179.945,233077,3,1
0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,183160,4,1
0.636,0.64,1,-7.243,0,0.312,0.0545,0.000003,0.148,0.271,87.223,154479,4,1
0.662,0.778,8,-5.617,1,0.0398,0.000325,0.000007,0.0441,0.713,118.016,214811,4,1
0.877,0.508,11,-9.4,0,0.103,0.335,0.00502,0.0665,0.883,102.963,189859,4,1
0.758,0.634,4,-9.075,1,0.0413,0.173,0.000024,0.0866,0.804,95.002,221947,4,1
0.405,0.481,1,-10.412,0,0.179,0.0338,0.00005,0.0976,0.0387,83.005,185831,4,1
0.423,0.71,1,-7.696,0,0.0865,0.00598,0.171,0.108,0.473,109.99,227603,4,1
0.68,0.803,11,-6.548,0,0.161,0.148,0,0.385,0.476,97.984,268253,4,1
0.713,0.71,5,-3.792,1,0.0435,0.0181,0.000009,0.151,0.304,121.935,151829,4,1
0.543,0.927,0,-5.209,1,0.0779,0.000347,0.562,0.0327,0.345,120.103,182333,4,1
0.837,0.614,11,-6.023,0,0.0581,0.0985,0,0.0753,0.475,116.978,164103,4,1
0.619,0.459,2,-7.994,1,0.0247,0.385,0.000023,0.097,0.578,107.049,190427,4,1
0.767,0.569,1,-7.827,1,0.0695,0.159,0.000765,0.11,0.801,142.959,205166,4,1
0.498,0.104,1,-14.08,0,0.0621,0.979,0.000079,0.0895,0.205,124.001,199931,3,1
0.773,0.567,1,-14.905,1,0.571,0.167,0,0.307,0.529,121.113,207804,4,1
0.446,0.902,11,-3.576,0,0.0398,0.000033,0.857,0.158,0.526,86.04,245248,4,1
0.784,0.555,11,-7.971,1,0.221,0.518,0.101,0.105,0.576,78.997,220907,4,1
0.735,0.643,10,-8.226,0,0.0731,0.122,0.171,0.107,0.14,143.921,175597,4,1
